Date,CO2
1750-01-15,277.01
1750-01-15,277.0213077679417
1750-02-15,277.0322079539083
1750-03-15,277.04270604515
1750-04-15,277.0528075289171
1750-05-15,277.0625178924599
1750-06-15,277.0718426230286
1750-07-15,277.08078720787347
1750-08-15,277.08935713424484
1750-09-15,277.0975578893928
1750-10-15,277.1053949605679
1750-11-15,277.11287383502014
1750-12-15,277.11999999999995
1751-01-15,277.1267789427575
1751-02-15,277.1332161505431
1751-03-15,277.139317110607
1751-04-15,277.14508731019953
1751-05-15,277.15053223657077
1751-06-15,277.15565737697125
1751-07-15,277.1604682186511
1751-08-15,277.1649702488605
1751-09-15,277.1691689548498
1751-10-15,277.17306982386935
1751-11-15,277.1766783431693
1751-12-15,277.17999999999995
1752-01-15,277.1830405813983
1752-02-15,277.1858070735486
1752-03-15,277.1883067624215
1752-04-15,277.1905469339882
1752-05-15,277.19253487421935
1752-06-15,277.1942778690859
1752-07-15,277.1957832045589
1752-08-15,277.19705816660905
1752-09-15,277.19811004120737
1752-10-15,277.19894611432466
1752-11-15,277.19957367193194
1752-12-15,277.2
1753-01-15,277.2002311853526
1753-02-15,277.2002685182254
1753-03-15,277.2001120897066
1753-04-15,277.1997619908846
1753-05-15,277.1992183128479
1753-06-15,277.1984811466847
1753-07-15,277.1975505834835
1753-08-15,277.1964267143327
1753-09-15,277.19510963032053
1753-10-15,277.19359942253544
1753-11-15,277.1918961820659
1753-12-15,277.1900000000001
1754-01-15,277.1879096771911
1754-02-15,277.1856188535499
1754-03-15,277.18311987875217
1754-04-15,277.18040510247334
1754-05-15,277.1774668743892
1754-06-15,277.1742975441753
1754-07-15,277.1708894615072
1754-08-15,277.16723497606057
1754-09-15,277.16332643751093
1754-10-15,277.15915619553397
1754-11-15,277.15471659980517
1754-12-15,277.1500000000002
1755-01-15,277.1450051058837
1755-02-15,277.1397560675758
1755-03-15,277.13428339528576
1755-04-15,277.12861759922276
1755-05-15,277.1227891895961
1755-06-15,277.116828676615
1755-07-15,277.1107665704886
1755-08-15,277.10463338142614
1755-09-15,277.09845961963697
